Well,Time(s),Temp(C),Channel,Value,Date,Start_Time
A1,0,27.4,A590,0.89019,2019-08-06,13:03:18
A2,0,27.4,A590,0.70752,2019-08-06,13:03:18
A3,0,27.4,A590,0.48616,2019-08-06,13:03:18
A4,0,27.4,A590,0.37397,2019-08-06,13:03:18
A5,0,27.4,A590,0.31217,2019-08-06,13:03:18
B1,0,27.4,A590,0.8736,2019-08-06,13:03:18
B2,0,27.4,A590,0.70636,2019-08-06,13:03:18
B3,0,27.4,A590,0.47748,2019-08-06,13:03:18
B4,0,27.4,A590,0.37147,2019-08-06,13:03:18
B5,0,27.4,A590,0.29887,2019-08-06,13:03:18
C1,0,27.4,A590,0.88216,2019-08-06,13:03:18
C2,0,27.4,A590,0.69369,2019-08-06,13:03:18
C3,0,27.4,A590,0.48886,2019-08-06,13:03:18
C4,0,27.4,A590,0.37369,2019-08-06,13:03:18
C5,0,27.4,A590,0.30585,2019-08-06,13:03:18
D1,0,27.4,A590,0.84618,2019-08-06,13:03:18
D2,0,27.4,A590,0.45293,2019-08-06,13:03:18
D3,0,27.4,A590,0.46029,2019-08-06,13:03:18
D4,0,27.4,A590,0.46677,2019-08-06,13:03:18
D5,0,27.4,A590,0.049313,2019-08-06,13:03:18
E1,0,27.4,A590,0.45888,2019-08-06,13:03:18
E2,0,27.4,A590,0.45147,2019-08-06,13:03:18
E3,0,27.4,A590,0.46621,2019-08-06,13:03:18
E4,0,27.4,A590,0.051597,2019-08-06,13:03:18
E5,0,27.4,A590,0.04957,2019-08-06,13:03:18
F1,0,27.4,A590,0.42115,2019-08-06,13:03:18
F2,0,27.4,A590,0.43246,2019-08-06,13:03:18
F3,0,27.4,A590,0.41864,2019-08-06,13:03:18
F4,0,27.4,A590,0.049697,2019-08-06,13:03:18
F5,0,27.4,A590,0.049796,2019-08-06,13:03:18
G1,0,27.4,A590,0.41914,2019-08-06,13:03:18
G2,0,27.4,A590,0.37137,2019-08-06,13:03:18
G3,0,27.4,A590,0.42029,2019-08-06,13:03:18
G4,0,27.4,A590,0.74441,2019-08-06,13:03:18
G5,0,27.4,A590,0.049164,2019-08-06,13:03:18
H1,0,27.4,A590,0.052147,2019-08-06,13:03:18
H2,0,27.4,A590,0.05064,2019-08-06,13:03:18
H3,0,27.4,A590,0.050525,2019-08-06,13:03:18
H4,0,27.4,A590,0.049455,2019-08-06,13:03:18
H5,0,27.4,A590,0.050537,2019-08-06,13:03:18
A1,17,27.4,A450,0.20144,2019-08-06,13:03:18
A2,17,27.4,A450,0.25493,2019-08-06,13:03:18
A3,17,27.4,A450,0.31674,2019-08-06,13:03:18
A4,17,27.4,A450,0.37043,2019-08-06,13:03:18
A5,17,27.4,A450,0.39554,2019-08-06,13:03:18
B1,17,27.4,A450,0.20473,2019-08-06,13:03:18
B2,17,27.4,A450,0.25643,2019-08-06,13:03:18
B3,17,27.4,A450,0.31644,2019-08-06,13:03:18
B4,17,27.4,A450,0.36275,2019-08-06,13:03:18
B5,17,27.4,A450,0.39088,2019-08-06,13:03:18
C1,17,27.4,A450,0.21643,2019-08-06,13:03:18
C2,17,27.4,A450,0.25528,2019-08-06,13:03:18
C3,17,27.4,A450,0.32669,2019-08-06,13:03:18
C4,17,27.4,A450,0.35601,2019-08-06,13:03:18
C5,17,27.4,A450,0.38848,2019-08-06,13:03:18
D1,17,27.4,A450,0.21148,2019-08-06,13:03:18
D2,17,27.4,A450,0.32587,2019-08-06,13:03:18
D3,17,27.4,A450,0.32359,2019-08-06,13:03:18
D4,17,27.4,A450,0.32484,2019-08-06,13:03:18
D5,17,27.4,A450,0.052301,2019-08-06,13:03:18
E1,17,27.4,A450,0.33506,2019-08-06,13:03:18
E2,17,27.4,A450,0.32567,2019-08-06,13:03:18
E3,17,27.4,A450,0.33825,2019-08-06,13:03:18
E4,17,27.4,A450,0.055268,2019-08-06,13:03:18
E5,17,27.4,A450,0.052508,2019-08-06,13:03:18
F1,17,27.4,A450,0.34723,2019-08-06,13:03:18
F2,17,27.4,A450,0.36313,2019-08-06,13:03:18
F3,17,27.4,A450,0.34814,2019-08-06,13:03:18
F4,17,27.4,A450,0.05213,2019-08-06,13:03:18
F5,17,27.4,A450,0.052116,2019-08-06,13:03:18
G1,17,27.4,A450,0.36299,2019-08-06,13:03:18
G2,17,27.4,A450,0.36423,2019-08-06,13:03:18
G3,17,27.4,A450,0.35386,2019-08-06,13:03:18
G4,17,27.4,A450,0.73848,2019-08-06,13:03:18
G5,17,27.4,A450,0.052113,2019-08-06,13:03:18
H1,17,27.4,A450,0.055844,2019-08-06,13:03:18
H2,17,27.4,A450,0.054199,2019-08-06,13:03:18
H3,17,27.4,A450,0.0538,2019-08-06,13:03:18
H4,17,27.4,A450,0.053125,2019-08-06,13:03:18
H5,17,27.4,A450,0.053728,2019-08-06,13:03:18
