Well,Time(s),Temp(C),Channel,Value,Date,Start_Time
A1,0,28.0,A590,0.83824,2019-08-12,15:42:09
A2,0,28.0,A590,0.61182,2019-08-12,15:42:09
A3,0,28.0,A590,0.47864,2019-08-12,15:42:09
A4,0,28.0,A590,0.37901,2019-08-12,15:42:09
A5,0,28.0,A590,0.30639,2019-08-12,15:42:09
B1,0,28.0,A590,0.9127,2019-08-12,15:42:09
B2,0,28.0,A590,0.65805,2019-08-12,15:42:09
B3,0,28.0,A590,0.47429,2019-08-12,15:42:09
B4,0,28.0,A590,0.3479,2019-08-12,15:42:09
B5,0,28.0,A590,0.30565,2019-08-12,15:42:09
C1,0,28.0,A590,0.84207,2019-08-12,15:42:09
C2,0,28.0,A590,0.65439,2019-08-12,15:42:09
C3,0,28.0,A590,0.47757,2019-08-12,15:42:09
C4,0,28.0,A590,0.34248,2019-08-12,15:42:09
C5,0,28.0,A590,0.29477,2019-08-12,15:42:09
D1,0,28.0,A590,0.44063,2019-08-12,15:42:09
D2,0,28.0,A590,0.4566,2019-08-12,15:42:09
D3,0,28.0,A590,0.46859,2019-08-12,15:42:09
D4,0,28.0,A590,0.050806,2019-08-12,15:42:09
D5,0,28.0,A590,0.049922,2019-08-12,15:42:09
E1,0,28.0,A590,0.45695,2019-08-12,15:42:09
E2,0,28.0,A590,0.45029,2019-08-12,15:42:09
E3,0,28.0,A590,0.45316,2019-08-12,15:42:09
E4,0,28.0,A590,0.051516,2019-08-12,15:42:09
E5,0,28.0,A590,0.05026,2019-08-12,15:42:09
F1,0,28.0,A590,0.29337,2019-08-12,15:42:09
F2,0,28.0,A590,0.29009,2019-08-12,15:42:09
F3,0,28.0,A590,0.29467,2019-08-12,15:42:09
F4,0,28.0,A590,0.050191,2019-08-12,15:42:09
F5,0,28.0,A590,0.049919,2019-08-12,15:42:09
G1,0,28.0,A590,0.42646,2019-08-12,15:42:09
G2,0,28.0,A590,0.42341,2019-08-12,15:42:09
G3,0,28.0,A590,0.42004,2019-08-12,15:42:09
G4,0,28.0,A590,0.049449,2019-08-12,15:42:09
G5,0,28.0,A590,0.050161,2019-08-12,15:42:09
H1,0,28.0,A590,0.3316,2019-08-12,15:42:09
H2,0,28.0,A590,0.33875,2019-08-12,15:42:09
H3,0,28.0,A590,0.35732,2019-08-12,15:42:09
H4,0,28.0,A590,0.050091,2019-08-12,15:42:09
H5,0,28.0,A590,0.0521,2019-08-12,15:42:09
A1,18,27.9,A450,0.2005,2019-08-12,15:42:09
A2,18,27.9,A450,0.26545,2019-08-12,15:42:09
A3,18,27.9,A450,0.30632,2019-08-12,15:42:09
A4,18,27.9,A450,0.34382,2019-08-12,15:42:09
A5,18,27.9,A450,0.37971,2019-08-12,15:42:09
B1,18,27.9,A450,0.23552,2019-08-12,15:42:09
B2,18,27.9,A450,0.24826,2019-08-12,15:42:09
B3,18,27.9,A450,0.34969,2019-08-12,15:42:09
B4,18,27.9,A450,0.35699,2019-08-12,15:42:09
B5,18,27.9,A450,0.38783,2019-08-12,15:42:09
C1,18,27.9,A450,0.20827,2019-08-12,15:42:09
C2,18,27.9,A450,0.25853,2019-08-12,15:42:09
C3,18,27.9,A450,0.32058,2019-08-12,15:42:09
C4,18,27.9,A450,0.34957,2019-08-12,15:42:09
C5,18,27.9,A450,0.37924,2019-08-12,15:42:09
D1,18,27.9,A450,0.31013,2019-08-12,15:42:09
D2,18,27.9,A450,0.32382,2019-08-12,15:42:09
D3,18,27.9,A450,0.33048,2019-08-12,15:42:09
D4,18,27.9,A450,0.054095,2019-08-12,15:42:09
D5,18,27.9,A450,0.05369,2019-08-12,15:42:09
E1,18,27.9,A450,0.32006,2019-08-12,15:42:09
E2,18,27.9,A450,0.31213,2019-08-12,15:42:09
E3,18,27.9,A450,0.31507,2019-08-12,15:42:09
E4,18,27.9,A450,0.05591,2019-08-12,15:42:09
E5,18,27.9,A450,0.054311,2019-08-12,15:42:09
F1,18,27.9,A450,0.38836,2019-08-12,15:42:09
F2,18,27.9,A450,0.38737,2019-08-12,15:42:09
F3,18,27.9,A450,0.39225,2019-08-12,15:42:09
F4,18,27.9,A450,0.053196,2019-08-12,15:42:09
F5,18,27.9,A450,0.052996,2019-08-12,15:42:09
G1,18,27.9,A450,0.33364,2019-08-12,15:42:09
G2,18,27.9,A450,0.32629,2019-08-12,15:42:09
G3,18,27.9,A450,0.32056,2019-08-12,15:42:09
G4,18,27.9,A450,0.053284,2019-08-12,15:42:09
G5,18,27.9,A450,0.053627,2019-08-12,15:42:09
H1,18,27.9,A450,0.36109,2019-08-12,15:42:09
H2,18,27.9,A450,0.36689,2019-08-12,15:42:09
H3,18,27.9,A450,0.39037,2019-08-12,15:42:09
H4,18,27.9,A450,0.054334,2019-08-12,15:42:09
H5,18,27.9,A450,0.055988,2019-08-12,15:42:09
