Well,Time(s),Temp(C),Channel,Value,Date,Start_Time
A1,0,28.3,A590,0.88566,2019-08-13,16:17:48
A2,0,28.3,A590,0.70707,2019-08-13,16:17:48
A3,0,28.3,A590,0.49862,2019-08-13,16:17:48
A4,0,28.3,A590,0.39059,2019-08-13,16:17:48
A5,0,28.3,A590,0.3139,2019-08-13,16:17:48
B1,0,28.3,A590,0.8751,2019-08-13,16:17:48
B2,0,28.3,A590,0.72081,2019-08-13,16:17:48
B3,0,28.3,A590,0.49894,2019-08-13,16:17:48
B4,0,28.3,A590,0.39271,2019-08-13,16:17:48
B5,0,28.3,A590,0.35459,2019-08-13,16:17:48
C1,0,28.3,A590,0.88436,2019-08-13,16:17:48
C2,0,28.3,A590,0.67977,2019-08-13,16:17:48
C3,0,28.3,A590,0.5111,2019-08-13,16:17:48
C4,0,28.3,A590,0.41762,2019-08-13,16:17:48
C5,0,28.3,A590,0.32351,2019-08-13,16:17:48
D1,0,28.3,A590,0.54021,2019-08-13,16:17:48
D2,0,28.3,A590,0.55525,2019-08-13,16:17:48
D3,0,28.3,A590,0.56838,2019-08-13,16:17:48
D4,0,28.3,A590,0.050583,2019-08-13,16:17:48
D5,0,28.3,A590,0.050526,2019-08-13,16:17:48
E1,0,28.3,A590,0.53528,2019-08-13,16:17:48
E2,0,28.3,A590,0.58666,2019-08-13,16:17:48
E3,0,28.3,A590,0.57658,2019-08-13,16:17:48
E4,0,28.3,A590,0.049977,2019-08-13,16:17:48
E5,0,28.3,A590,0.051632,2019-08-13,16:17:48
F1,0,28.3,A590,0.49653,2019-08-13,16:17:48
F2,0,28.3,A590,0.51179,2019-08-13,16:17:48
F3,0,28.3,A590,0.50561,2019-08-13,16:17:48
F4,0,28.3,A590,0.050667,2019-08-13,16:17:48
F5,0,28.3,A590,0.050151,2019-08-13,16:17:48
G1,0,28.3,A590,0.49499,2019-08-13,16:17:48
G2,0,28.3,A590,0.51995,2019-08-13,16:17:48
G3,0,28.3,A590,0.50663,2019-08-13,16:17:48
G4,0,28.3,A590,0.050223,2019-08-13,16:17:48
G5,0,28.3,A590,0.049827,2019-08-13,16:17:48
H1,0,28.3,A590,0.05133,2019-08-13,16:17:48
H2,0,28.3,A590,0.053895,2019-08-13,16:17:48
H3,0,28.3,A590,0.051353,2019-08-13,16:17:48
H4,0,28.3,A590,0.050681,2019-08-13,16:17:48
H5,0,28.3,A590,0.050407,2019-08-13,16:17:48
A1,18,28.3,A450,0.20687,2019-08-13,16:17:48
A2,18,28.3,A450,0.25783,2019-08-13,16:17:48
A3,18,28.3,A450,0.32054,2019-08-13,16:17:48
A4,18,28.3,A450,0.37058,2019-08-13,16:17:48
A5,18,28.3,A450,0.40136,2019-08-13,16:17:48
B1,18,28.3,A450,0.20922,2019-08-13,16:17:48
B2,18,28.3,A450,0.26326,2019-08-13,16:17:48
B3,18,28.3,A450,0.33894,2019-08-13,16:17:48
B4,18,28.3,A450,0.37407,2019-08-13,16:17:48
B5,18,28.3,A450,0.40415,2019-08-13,16:17:48
C1,18,28.3,A450,0.22853,2019-08-13,16:17:48
C2,18,28.3,A450,0.26742,2019-08-13,16:17:48
C3,18,28.3,A450,0.32054,2019-08-13,16:17:48
C4,18,28.3,A450,0.38485,2019-08-13,16:17:48
C5,18,28.3,A450,0.39997,2019-08-13,16:17:48
D1,18,28.3,A450,0.3084,2019-08-13,16:17:48
D2,18,28.3,A450,0.31163,2019-08-13,16:17:48
D3,18,28.3,A450,0.3027,2019-08-13,16:17:48
D4,18,28.3,A450,0.053456,2019-08-13,16:17:48
D5,18,28.3,A450,0.054342,2019-08-13,16:17:48
E1,18,28.3,A450,0.31388,2019-08-13,16:17:48
E2,18,28.3,A450,0.3155,2019-08-13,16:17:48
E3,18,28.3,A450,0.30604,2019-08-13,16:17:48
E4,18,28.3,A450,0.052695,2019-08-13,16:17:48
E5,18,28.3,A450,0.055315,2019-08-13,16:17:48
F1,18,28.3,A450,0.34811,2019-08-13,16:17:48
F2,18,28.3,A450,0.33145,2019-08-13,16:17:48
F3,18,28.3,A450,0.33185,2019-08-13,16:17:48
F4,18,28.3,A450,0.053351,2019-08-13,16:17:48
F5,18,28.3,A450,0.05294,2019-08-13,16:17:48
G1,18,28.3,A450,0.34001,2019-08-13,16:17:48
G2,18,28.3,A450,0.33732,2019-08-13,16:17:48
G3,18,28.3,A450,0.33042,2019-08-13,16:17:48
G4,18,28.3,A450,0.05372,2019-08-13,16:17:48
G5,18,28.3,A450,0.053267,2019-08-13,16:17:48
H1,18,28.3,A450,0.054878,2019-08-13,16:17:48
H2,18,28.3,A450,0.05683,2019-08-13,16:17:48
H3,18,28.3,A450,0.053437,2019-08-13,16:17:48
H4,18,28.3,A450,0.054366,2019-08-13,16:17:48
H5,18,28.3,A450,0.053203,2019-08-13,16:17:48
